1801,UQ Chancellors Place,4:03 PM,0,,"1801: ""UQ Chancellor's Place","10192: ""Chapel Hill Rd near Neptune St"
1809,"Hawken Dr at Upland Road, stop 32, St Lucia",4:03 PM,0.5,00:00,"1809: ""Hawken Dr at Upland Road","1560: ""Kate St near Boundary Rd"
1812,"Hawken Dr at Picardy Street, stop 31, St Lucia",4:03 PM,0.5,00:00,"1812: ""Hawken Dr at Picardy Street","1561: ""Jerrang St near Jainba St"
1813,"Hawken Dr at Hawken Villiage, stop 30, St Lucia",4:05 PM,1,00:02,"1813: ""Hawken Dr at Hawken Villiage","1563: ""Jerrang St at Market St"
1817,"Hawken Dr near Highland Tce, stop 29, St Lucia",4:06 PM,0.5,00:01,"1817: ""Hawken Dr near Highland Tce","1565: ""Fig Tree Pocket Rd near Bredden St"
1819,"Hawken Dr at Highland Terrace, stop 28, St Lucia",4:06 PM,0.5,00:00,"1819: ""Hawken Dr at Highland Terrace","1580: ""Witton Rd near Kate St"
1821,"Hawken Dr at Tarcoola Street, stop 27, St Lucia",4:07 PM,0.5,00:01,"1821: ""Hawken Dr at Tarcoola Street","1582: ""Witton Rd near Market St"
1823,"Hawken Dr at Tenth Avenue, stop 26, St Lucia",4:07 PM,0.5,00:00,"1823: ""Hawken Dr at Tenth Avenue","1583: ""Market St near Moggill Rd"
1825,"Roundabout at Hawken Shops, stop 25, St Lucia",4:08 PM,1,00:01,"1825: ""Roundabout at Hawken Shops","1593: ""Moggill Rd at Indooroopilly School"
1827,"Hawken Dr at Ironside School, stop 23/24, St Lucia",4:09 PM,1,00:01,"1827: ""Hawken Dr at Ironside School","1597: ""Burbong St near Merrilyn St"
1829,"Swann Rd at Hutton Lane, stop 21, St Lucia",4:10 PM,1,00:01,"1829: ""Swann Rd at Hutton Lane",1599: Burbong St at Burbong East
1832,"Swann Rd at Bonvale Lane, stop 21, St Lucia",4:11 PM,1,00:01,"1832: ""Swann Rd at Bonvale Lane","1600: ""Burbong St near Moggill Rd"
1717,"Swann Rd near Indooroopilly Rd, stop 23, Taringa",4:12 PM,0.5,00:01,"1717: ""Swann Rd near Indooroopilly Rd",
1719,"Swann Rd near Kobada St, stop 24, Taringa",4:12 PM,0.5,00:00,"1719: ""Swann Rd near Kobada St","1676: ""Moggill Rd at Rylatt Street"
1721,"Swann Rd at Victoria Street, stop 25, Taringa",4:13 PM,1,00:01,"1721: ""Swann Rd at Victoria Street",
1723,"Swann Rd at Saunders Street, stop 26, Taringa",4:14 PM,0.5,00:01,"1723: ""Swann Rd at Saunders Street",
1686,"Swann Rd at Burns Street, stop 27, Taringa",4:14 PM,0.5,00:00,"1686: ""Swann Rd at Burns Street",
1684,"Swann Rd near Queens Rd, stop 28, Taringa",4:15 PM,0.5,00:01,"1684: ""Swann Rd near Queens Rd",
1682,"Swann Rd at Swann - Clarence, stop 29, Taringa",4:15 PM,0.5,00:00,"1682: ""Swann Rd at Swann - Clarence",
1689,"Central Ave near Clarence Rd, stop 30, Indooroopilly",4:16 PM,0.5,00:01,"1689: ""Central Ave near Clarence Rd",
1687,"Central Ave at Rennie Street, stop 31, Indooroopilly",4:16 PM,0.5,00:00,"1687: ""Central Ave at Rennie Street",
1693,"Central Ave at Newcross Street, stop 32, Indooroopilly",4:17 PM,1,00:01,"1693: ""Central Ave at Newcross Street",4613: Burbong St at Burbong West
1694,"Central Ave at Holy Family, stop 33, Indooroopilly",4:18 PM,0.5,00:01,"1694: ""Central Ave at Holy Family","4614: ""Chapel Hill Rd near Fuelling St"
1697,"Central Ave at Forest Lodge, stop 34, Indooroopilly",4:18 PM,0.5,00:00,"1697: ""Central Ave at Forest Lodge","4616: ""Chapel Hill Rd near Fleming Rd"
1698,"Central Ave near Lambert Rd, stop 35, Indooroopilly",4:19 PM,1,00:01,"1698: ""Central Ave near Lambert Rd","4721: ""Chapel Hill Rd near Ludlow St"
1666,"Clarence Rd near Railway Ave, stop 36, Indooroopilly",4:20 PM,1,00:01,"1666: ""Clarence Rd near Railway Ave","4722: ""Chapel Hill Rd near Ludlow St"
2205,Indooroopilly Shopping Centre station,4:25 PM,5,00:05,"2205: ""Station Rd at Indooroopilly Shopping Ctr",
,,,,,,
,,,,,,
,,,,,,
