1799,UQ Chancellors Place,4:10 PM,0,0,"1799: ""UQ Chancellor's Place","10374: ""Moggill Rd at Bredden Street",,,,"1593: ""Moggill Rd at Indooroopilly School",,,,,"4733: ""Marshall Lane near Wongabel St"
1827,Hawken Dr at Ironside School,4:14 PM,4,0:04,"1827: ""Hawken Dr at Ironside School","10376: ""Moggill Rd at Marshall Lane",,,,"1676: ""Moggill Rd at Rylatt Street",,,,,"4755: ""Kilkivan Ave at Moggill Road"
1832,Swann Rd at Bonvale Lane,4:16 PM,2,0:02,"1832: ""Swann Rd at Bonvale Lane","10377: ""Marshall Lane near Gilruth Rd",,,,"4652: ""Moggill Rd near Marshall Lane",,,,,"4756: ""Kilkivan Ave near Rothesay St"
1715,Indooroopilly Rd near McCaul St,4:17 PM,1,0:01,"1715: ""Indooroopilly Rd near McCaul St","10380: ""Lanark St near Kilkivan Ave",,,,"4653: ""Moggill Rd at Kenmore Churches",,,,,"4757: ""Kilkivan Ave at Pentlay Street"
1710,Lambert Rd near Indooroopilly Rd,4:18 PM,1,0:01,"1710: ""Lambert Rd near Indooroopilly Rd","10804: ""Moggill Rd at Kenmore Central",,,,"4703: ""Kenmore Rd at OLR",,,,,"4759: ""Kingussie St at Kingussie Street"
1708,Lambert Rd near Bowaga St,4:19 PM,1,0:01,"1708: ""Lambert Rd near Bowaga St",14100: Kersley Rd near Marshall Lane,,,,"4704: ""Kenmore Rd at Kenmore",,,,,"4760: ""Kilkivan Ave at Dumbarton Drive"
1640,Lambert Rd - 26,4:20 PM,0.5,0:01,1640: Lambert Rd - 26,14101: Marshall Lane near Akuna St,,,,"4705: ""Kenmore Rd at Rannoch Street",,,,,
1705,Lambert Rd near Martin Lane,4:20 PM,0.5,0:00,"1705: ""Lambert Rd near Martin Lane","1584: ""Moggill Rd at Chapel Hill",,,,"4712: ""Kenmore Rd near Gem Rd",,,,,
1662,Lambert Rd at Central Ave,4:21 PM,1,0:01,"1662: ""Lambert Rd at Central Ave","1585: ""Moggill Rd at Kennewell Park",,,,"4713: ""Kenmore Rd at Kenmore South",,,,,
1666,Clarence Rd near Railway Ave,4:22 PM,1,0:01,"1666: ""Clarence Rd near Railway Ave","1586: ""Moggill Rd at Alkira",,,,"4720: ""Moggill Rd at Marshall Lane",,,,,
2205,Indooroopilly Shopping Centre station,4:27 PM,5,0:05,"2205: ""Station Rd at Indooroopilly Shopping Ctr","1587: ""Moggill Rd at Fig Tree Pocket Road",,,,"4732: ""Marshall Lane near Kowhai St",,,,,
